1,abaca.png,Abaca,Abaka,"Abaca is a natural leaf fiber that comes from a relative of the banana tree family native to the Philippines that grows throughout tropical regions. It is also called Manilla hemp, though it is not related to actual hemp. Abaca is generally considered to be a sustainable, environmentally friendly fiber that can empower communities.","The plant grows to 13–22 feet (4.0–6.7 m), and averages about 12 feet (3.7 m). ",It is recommended that planting be done using the square method with a distance of 2.5 meters by 2.5 meters or 1.5 meters by 1.5 meters for varieties that are poor producers of suckers.,It is advisable to water plants once or twice a month during summer.,"2,3,5"
12,beet.png,Beets,Beets,"Beets are a vibrant root vegetable known for their deep red or purple color, but they can also come in golden or striped varieties. With a sweet, earthy flavor, beets are packed with essential nutrients, including folate, manganese, and fiber. They are widely used in salads, juices, and soups, and can be roasted, boiled, or eaten raw. Beetroot juice is particularly valued for its ability to lower blood pressure and improve athletic performance by enhancing oxygen flow. Beets also contain betalains, pigments with anti-inflammatory and antioxidant properties, which may contribute to improved liver function and reduced risk of chronic diseases.","Beets can be planted in partial shade and grow best in deep, well-drained soils. Beets have deep roots that can reach depths of 36 to 48 inches, so do not plant them where tree roots will compete (Fig.","Rows should be spaced 30 cm (12″) apart. When seedlings are approximately 5 cm (2”) tall, thin the seedlings to 8 cm (3″) apart to grow uniformly sized beets. Crowding keeps roots small. Seeds germinate in approximately 10-12 days.","Beetroot has shallow roots, with an effective depth of 300mm, and it is important to water the plants regularly and frequently. . As a guideline 300-350 mm of water is required throughout the growing cycle, an average of 4mm per day. This is dependent on the season, the varieties water requirements and soil type.","1,6"
13,peppers.png,Bell Pepper,Bell Pepper,"Bell peppers are versatile vegetables available in a variety of colors, including green, red, yellow, and orange. Bell peppers are mildly sweet, with a crisp texture when eaten raw and a tender, smoky flavor when cooked. They are rich in vitamins A and C, making them a healthy addition to a balanced diet. Bell peppers are often used in Filipino dishes such as chop suey and menudo, where their vibrant colors and sweet flavor add visual appeal and taste. They are also popular in salads, stir-fries, and as stuffing for baked dishes.",It is best to transplant peppers in the evening or on a cloudy day. This will keep the plants from drying too much and wilting. Make the transplant holes 3 to 4 inches deep and 12 to 18 inches apart in the row. Space the rows 2 to 3 feet apart.,"Plant them 18 to 24 inches apart in a sunny, well-drained spot. Pepper plants need at least 6-8 hours of sunlight per day. Mix compost or other organic matter into the soil when planting. Water immediately after planting, then regularly throughout the season.","Keep bell peppers well-watered, but never leave soil soggy. Water to moisten soil about 6 inches deep, then let it dry slightly. Watering is especially important during fruit set, when tiny peppers take the place of blossoms, and as the bells mature. Consistent moisture helps keep peppers firm and healthy.","3,5"
14,blueberry.png,Blueberry,Blueberry,"The blueberry is a fruit that grows wild in fresh areas of the N hemisphere. It is a bluish-black, rounded berry measuring 6mm of diameter. It is mainly consumed in jams, cakes or as garnish for various dishes. It is rich in vitamins and it supplies very few calories.",A fail-safe way to grow blueberries in almost any soil is to incorporate peat moss into the planting medium. For planting directly in the ground: Work up a planting area approximately 2½ feet in diameter and 1 foot deep for each plant.,"You can plant blueberry bushes as close as 2 or 2.5 feet apart to form solid hedgerows, or space them up to 6 feet apart so they grow individually. If you plant in rows, allow 8 to 10 feet between the rows.","The amount of water your blueberry plant needs will depend on your climate but generally, you want to make sure the plant has consistent moisture but isn't overwatered. This usually means watering two to three times a week for blueberries planted in the landscape or raised beds and daily if it's in a container.",3
15,brocolli.png,Broccoli,Broccoli,"Broccoli is a cruciferous vegetable closely related to cabbage, cauliflower, and kale. It has a firm, tree-like structure with edible green florets and stalks. Known for being a nutritional powerhouse, broccoli is rich in vitamins C, K, and folate, as well as fiber and powerful antioxidants like sulforaphane, which may have cancer-fighting properties. Steaming or lightly cooking broccoli preserves its nutritional value, though it can also be roasted, sautéed, or used in soups and salads. Regular consumption of broccoli is associated with a lower risk of chronic diseases, improved heart health, and enhanced detoxification processes in the body.","Plant seeds ¼- ½ inch deep, 2-3 weeks before the last frost in the spring. Thin seedlings or transplant broccoli 12-18 inches apart in the row with rows 2-3 feet apart.","Plant broccoli 18 to 24 inches apart in rows that are spaced 36 inches apart. Provide plenty of water during the first week to help establish plants. After establishing, provide water at least every four to five days. Watering may become more frequent as the main head of broccoli develops.","Plant broccoli 18 to 24 inches apart in rows that are spaced 36 inches apart. Provide plenty of water during the first week to help establish plants. After establishing, provide water at least every four to five days. Watering may become more frequent as the main head of broccoli develops.","2,4"
16,brussel-sprout.png,Brussels Sprout,Brussels Sprout,"Brussels sprouts are small, round vegetables that resemble miniature cabbages and grow on tall stalks. They are part of the cruciferous vegetable family and are highly nutritious, offering high levels of vitamin K, vitamin C, and fiber. Brussels sprouts have a slightly bitter flavor when raw, but this bitterness diminishes and a pleasant nutty taste develops when roasted or sautéed. Popular in European and American cuisines, they are often served with bacon, garlic, or balsamic vinegar to enhance their flavor. These vegetables are linked to various health benefits, including better bone health, improved digestion, and a reduced risk of cancer.","Plant seeds ¼-½ inch deep. Thin seedlings or transplant Brussels sprouts 12-18 inches apart in the row with rows 2-3 feet apart. Plant Brussels sprouts in early summer for maturity in the fall after several frosts. Avoid fertilization during sprout formation as this may cause loose, soft sprouts, and splitting.","Brussels sprouts get large, so they need to be about 18 to 24 inches apart in a row or bed. If planted in rows, space rows 30 inches apart to give yourself enough room to walk. Don't let seedlings sit around for long, dry out, or get stunted in their pack.",Water Brussels sprouts deeply and infrequently while trying to maintain even soil moisture. About 1-2 inches of water are required per week. Use drip irrigation if possible to conserve water. Applying mulch around the plant also helps conserve soil moisture and reduce weed growth.,2
17,calamansi.png,Calamansi,Calamansi,"Calamansi, also known as kalamansi or Philippine lime, is a small, round citrus fruit that resembles a lime but with a unique combination of sweet and sour flavors. It is a staple in Filipino cooking, used as a condiment, marinade, or flavor enhancer in many dishes and drinks. Rich in vitamin C, calamansi is known for its immune-boosting properties and is often used in home remedies for colds and coughs. Its juice is often added to sauces, dips, and beverages for a refreshing tang, and it plays a key role in Filipino dishes such as sinigang and pancit.","Dig a hole, at least 40cm wide and 40cm deep. Set the seedling into the hole and put back the dug soil mixed with compost. Water the plant daily, at least every morning. The usual distance for planting calamansi is five meters between plants.","The usual distance for planting calamansi is five meters between plants. To produce big, luscious fruits, it is recommended to fertilize the plants regularly. Apply 50g to 100g ammonium sulfate or urea, around each tree one month after planting.","Keeping the soil moist is essential for calamansi development and can be done every other day through regular watering. A total of 4-6 inches of water is needed per month to keep calamansi moist enough for plant development (The Leaf Network, 2016).",5
18,cauliflower.png,Cauliflower,Cauliflower,"Cauliflower is a cruciferous vegetable with a mild flavor and a versatile culinary profile. Its tightly packed white florets are commonly used as a low-carb alternative to grains and potatoes in dishes like cauliflower rice and cauliflower pizza crust. Rich in fiber, vitamin C, and antioxidants, cauliflower supports digestion and may help reduce the risk of heart disease and cancer. It can be steamed, roasted, sautéed, or pureed and is often used in soups, salads, and stir-fries. Its ability to absorb flavors makes it a popular ingredient in various cuisines.","Plant seeds ¼-½ inch deep, 2-3 weeks before the last frost. Thin seedlings or transplant cauliflower 12-18 inches apart in the row with rows 2-3 feet apart. Avoid growing during the heat of summer, as yield and quality are reduced.",Space individual cauliflower plants and rows as follows: 45–60cm (18–24in) apart for summer and autumn varieties. 70cm (28in) apart for larger winter varieties.,Water cauliflower deeply and infrequently while trying to maintain even soil moisture. About 1-2 inches of water are required per week. Use drip irrigation if possible to conserve water. Mulch around the plant also helps conserve soil moisture and reduce weed growth.,2
19,celery.png,Celery,Celery," Celery is a crisp, hydrating vegetable with long, fibrous stalks and a mild, slightly peppery flavor. It's often eaten raw as a snack, paired with dips, or added to salads for crunch. Celery is low in calories but rich in vitamins A, K, and potassium, making it a heart-healthy food. Its high water content also makes it an excellent source of hydration. Celery seeds and leaves are often used as flavoring agents in soups, stews, and sauces. The antioxidants in celery have anti-inflammatory properties, which may benefit heart health and help reduce blood pressure.","Celery needs soil that is loose, rich in organic amendment, and well-draining. It has a shallow root system and needs a celery planting depth of 18 inches (46 cm.)",Celery is started from seed planted around February 1st and then transplant to April or early May depending on your area. Space the rows 2 feet apart and the plants 12 inches apart in the row. A tight planting helps force tall growth and long petioles.,"Celery needs at least 1 to 2 inches of water from rainfall or irrigation each week during the growing season. Always soak the soil thoroughly when watering because celery has a small, shallow root system. Any water stress during the year causes the stalks to become stringy and gives them a strong flavor.",4
20,chico.png,Sapodilla,Chico,"Sapodilla, or chico, is a tropical fruit with a sweet, caramel-like flavor and brown, grainy flesh. It is widely grown in the Philippines and is often eaten fresh. Sapodilla is rich in fiber, vitamins A and C, and minerals like potassium and iron. It has a smooth, brown skin and is known for its sweet, custard-like texture when ripe. Sapodilla can also be used in desserts or smoothies. It is believed to have digestive benefits due to its high fiber content, making it a popular fruit in tropical regions.",Insert Sapodilla seeds into seedling media with depth of 0.9 - 1.2 cm. This means that the thickness of the soil covering the seed = 0.9 - 1.2 cm.,"Cultivation. Seedlings should be kept in full sun, with adequate moisture and fertilizer or compost. Trees set out in commercial groves are spaced 9-14 m (30 to 45 ft) apart each way. Most mature trees receive no watering regiment, but irrigation during dry times will maintain productivity.","Water your Sapodilla weekly, adjusting based on the season and soil type. Signs of adequate watering include moist but not waterlogged soil and vibrant leaves. Avoid watering directly under the hot sun to prevent rapid evaporation.","3,5"
21,dalandan.png,Sour Orange,Dalandan,"Dalandan, also known as Philippine orange or green orange or sour orange, is a type of sour citrus fruit native to the Philippines. It has a thick green rind that turns slightly orange when fully ripe, and its flesh is sweet and tangy. Dalandan is commonly consumed fresh, made into juice, or used in desserts and marinades. It is a rich source of vitamin C, antioxidants, and fiber, promoting a healthy immune system and aiding in digestion. Dalandan juice is particularly refreshing during hot weather and is often sold in local markets as a popular beverage.",Sour Orange does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!,"Standard-sized citrus trees should be spaced 12-25 feet apart while dwarf citrus trees should be set 6-10 feet apart. The exact distance however depends on the variety. For instance, the bigger the fruit, the farther the distance.","Plant sour orange in full sun, with moist but not overly wet soil. Water regularly, allowing the soil time to dry out between watering. It does well in medium (loamy) and heavy (clay) soils with a pH of 5 - 8 but it can grow in very alkaline soils also.","3,5"
22,dayap.png,Key Lime,Dayap,"Key limes are smaller, more aromatic, and tarter than the standard Persian lime. Known for their distinct flavor, they are most famous for being the main ingredient in Key lime pie. These limes are rich in vitamin C and antioxidants, supporting immune function and skin health. Key lime juice is often used in marinades, dressings, and beverages due to its tangy, citrusy flavor. In the Philippines, limes are similar to dayap, which is often used in desserts and drinks. Key limes have a thinner skin and are juicier than other lime varieties.",Dig a hole 3 to 4 times the diameter and 3 times as deep as the container the Key lime tree came in.,"Placement in the Landscape. Planting distances depend on soil type and fertility and expertise of the homeowner. Key lime trees in the home landscape should be planted in full-sun, 12 to 20 feet or more (4.1 to 6.1 m) away from buildings and other trees.","Key lime trees need deep, weekly watering. Take your time watering them so the water can reach deep to the roots. You may need to water a little more frequently during hot and dry seasons, but water during cooler parts of the day to avoid scalding your tree.","3,5"
23,dragonfruit.png,Dragon Fruit,Dragon Fruit,"Dragon fruit, also called pitaya or pitahaya, is a tropical and subtropical fruit that is produced by several different cactus species. You'll recognize it by its bright red or purple exterior with scaly spikes and its yellow, purple or white interior flecked with black seeds.","A mature dragon fruit plant requires a 25- to 30-gallon size container with a depth of 20 to 24 inches. Given the fast growth rate of the plant, it will require frequent repotting to a larger container with fresh potting soil whenever the plant becomes root-bound.","Plants should be established on well-drained beds, up to 300 mm high, 2.5-3 m apart within a row and 3-4 m between rows, depending on the size of orchard equipment.","Dragon fruit requires deep watering once every 2 weeks during its growing season. Overwatering can lead to root rot, a common issue for Dragon fruit plants. Use a moisture meter to determine when your Dragon fruit needs water.",5
24,duhat.png,Java Plum,Duhat,"Java plum, known locally as duhat, is a dark purple, almost black fruit that grows in the Philippines and other tropical regions. It has a sweet-tart flavor, with a slightly astringent aftertaste, and is commonly eaten fresh, used in drinks, or made into jams and jellies. Java plum is rich in vitamin C, antioxidants, and iron, making it beneficial for boosting the immune system and supporting blood health. It is also known for its potential in controlling blood sugar levels, often used in traditional medicine for managing diabetes.","The java plum plant thrives in its natural tropical habitats, characterized by moderately acidic soils with a pH range of 5.5 to 6.5. These soils are typically a mix of sand, loam, and clay, offering good fertility and drainage. For optimal growth, use a soil mix of 40% garden soil, 30% sand, and 30% compost.","Trees should be spaced between 12 and 14 m if planted as ornamentals and 6 m apart if for a windbreak. S. cuminii is a fast-growing tree, and seedlings may reach a height of 4 m in only 2 years. Trees may become serious pests in pastures.","Java plum trees typically require weekly watering, adjusting as needed based on the climate and soil type. Overwatering can lead to root rot and affect the overall health of your Java plum. Always check soil moisture before watering again.","2,3,5"
25,durian.png,King of Fruits,Durian,"Durian, famously known as the ""King of Fruits,"" is a large, spiky fruit with a distinct odor that can be polarizing—some find it sweet and appealing, while others find it overpowering. The flesh of the durian is rich, creamy, and custard-like, with a flavor that combines sweet and savory notes. Despite its strong smell, durian is a prized delicacy in Southeast Asia, including the Philippines. It is high in vitamins C and B complex, healthy fats, and fiber. Durian is often eaten fresh or used in various desserts like ice cream, cakes, and candies.","Durian prefers deep, well-drained loamy soils not less than 1.5m deep.","Spacing varies from 8 to 16m apart, with 10 x 10 m the most common spacing. At the closer spacing the orchard may need to be thinned after 8 to 10 years. As young durian plants cannot tolerate strong winds and sunlight, they are normally planted together with other nurse trees, such as bananas in a mixed plantation.","Watering should be adjusted to once every 2-3 weeks, maintaining a balance that prevents both overwatering and drought stress. Durians is typically grown outdoors due to its size and need for ample space; it benefits from mulching which helps retain soil moisture, especially during its active growing season.",3
26,gabi.png,Taro,Gabi,"Taro is a root vegetable used in various Filipino dishes such as laing and sinigang. Taro has starchy, white flesh with a mild, nutty flavor that becomes creamy when cooked. Rich in fiber, potassium, and vitamins E and C, taro supports digestive health and helps regulate blood pressure. In addition to its root, taro leaves are also consumed and are a key ingredient in laing, a popular dish from the Bicol region. The vegetable is versatile and can be boiled, fried, or mashed, offering both culinary and nutritional benefits.","Taro makes a great container plant, whether you're growing it for the decorative leaves or you want to harvest the tuber at the end of the season. Dig a hole about 6 in (15 cm) deep and place the tuber into the soil. Cover it with 2–3 in (5.1–7.6 cm) of soil.","Taro is usually planted at wide spacing of 1m x 1m at a density of 10,000 plants/ha in dry areas and at spacing as close as 45cm x 45cm or approximately 49,000 plants/ha in wetland areas. Taro is usually the first crop planted after the clearance of a forest fallow because the soil if very fertile.","Taro needs 0.8 cups of water every 9 days when it doesn't get direct sunlight and is potted in a 5.0"" pot.",3
27,guyabano.png,Soursop,Guyabano,"Soursop, or guyabano, is a tropical fruit with spiky green skin and soft, fibrous white flesh that has a sweet and tangy flavor. It is rich in vitamins C and B, antioxidants, and fiber. Soursop is often eaten fresh, blended into drinks, or used in desserts like guyabano ice cream. In traditional Filipino medicine, soursop is believed to have health benefits, including its potential anti-cancer properties, though more research is needed to support these claims. The fruit is also used to promote digestion and boost the immune system.",Insert Soursop seeds into seedling media with depth of 0.9 - 1.2 cm. This means that the thickness of the soil covering the seed = 0.9 - 1.2 cm.,Land preparation. This type of tree grows in any kind of soil however; it prefers a rich and deep loam. A well-drained soil with the PH value of 6.1 to 6.5 is preferable. You can plant Soursop in rectangular or triangular patterns at a distance of 4mx4m to 7mx7m.,"The plants should be watered regularly, especially during the dry periods of the year. During the rainy seasons, heavy downpours adversely affect the pollination of flowers and production of fruit. The soursop tree requires fertilising to maintain a healthy, vigorous plant.",3
28,kabuti.png,Baby Bella Mushroom,Kabuti,"Baby bella mushrooms are also known as cremini mushrooms. They are the same variety as white button mushrooms but picked when they're more mature, which results in a more developed flavour. Baby bella mushrooms are also the same variety as Italian portobello (or portabella) mushrooms, but a stage younger.","The tray should be 8 inches (20 cm.) deep and 4 feet x 4 feet (1 x 1 m.) or similar size. Fill the tray with 6 inches (15 cm.) of the seasoned manure based compost, sprinkle with spores, mix into the compost, and lightly tamp down.","Mushrooms are an amazing crop, in that you can realistically churn out about 50kg (110lb) per week, from an area the size of about 8-10 square meters (90 square feet). This coupled with the fact that they demand very minimal water input, means you can grow a significant amount of mushrooms in a very very small space.","You are required to water the mushrooms once every two days. Don't soak them up, as much as they require a lot of water, the growing medium should only be damp, not soaked. Never allow the growth medium to dry up.",4
29,pumpkin.png,Pumpkin,Kalabasa,"Pumpkin, or kalabasa, is a large, orange-fleshed vegetable commonly used in savory dishes in the Philippines, such as ginataang kalabasa and pinakbet. Its sweet, nutty flavor and creamy texture make it a popular ingredient in soups, stews, and curries. Pumpkins are rich in beta-carotene, fiber, and vitamins A and C, which support healthy skin and vision. The seeds, known as pepitas, are also edible and contain healthy fats, protein, and antioxidants. Pumpkin is highly versatile and can be used in both sweet and savory dishes.",Pumpkins can be grown from seed or transplants. Seed should be planted 1-2 inches deep. Transplants should have three to four mature leaves and a well-developed root system.,"Pumpkins should be planted when soils are 65ºF or after frost danger has past. Plant four to six seeds in mounds 4 feet apart. After they have two leaves, thin to two plants per mound. Transplants should be planted 2-3 feet apart in the row with rows 4-6 feet apart.","Usually, pumpkins need 25 to 40 mm or 1-1.6 inches of water per week during warm periods at least once a week, especially during critical periods. Rainfalls, irrigation, or both can cover these needs.",2
